post,splitted_text,splitted_tags
"How to reduce an image size in image processing (scipy/numpy/python) <p>Hello I have an image ( 1024 x 1024) and I used ""fromfile"" command in numpy to put every pixel of that image into a matrix.</p>

<p>How can I reduce the size of the image ( ex. to 512 x 512) by modify that matrix a?</p>

<pre><code>a = numpy.fromfile(( - path - ,'uint8').reshape((1024,1024))
</code></pre>

<p>I have no idea how to modify the matrix a to reduce the size of the image. So if somebody has any idea, please share your knowledge and I will be appreciated. Thanks</p>

<hr>

<p>EDIT: </p>

<p>When I look at the result, I found that the reader I got read the image and put it into a ""matrix"". So I changed the ""array"" to matrix.</p>

<p>Jose told me I can take only even column and even row and put it into a new matrix . That will reduce the image to half size. What command in scipy/numpy do I need to use to do that? </p>

<p>Thanks</p>
","['image', 'size', 'image', 'processing', 'python', 'hello', 'image', 'command', 'numpy', 'pixel', 'image', 'matrix', 'size', 'image', 'path', 'uint', 'reshape', 'idea', 'size', 'image', 'somebody', 'idea', 'please', 'share', 'knowledge', 'result', 'reader', 'image', 'array', 'matrix', 'jose', 'image', 'half', 'size', 'command', 'scipy', 'need']","['python', 'image', 'image-processing', 'numpy', 'scipy']"
"Embed a JRE in a Windows executable? <p>Suppose I want to distribute a Java application.</p>

<p>Suppose I want to distribute it as a single executable. I could easily build a .jar with both the application and all its external dependencies in a single file (with some Ant hacking).</p>

<p>Now suppose I want to distribute it as an .exe file on Windows. That's easy enough, given the nice tools out there (such as Launch4j and the likes).</p>

<p>But suppose now that I also don't want to depend on the end user having the right JRE (or any JRE at all for that matter) installed. I want to distribute a JRE with my app, and my app should run on this JRE. It's easy enough to create a Windows installer executable, and embed a folder with all necessary JRE files in it. But then I'm distributing an <i>installer</i> and not a single-file app.</p>

<p>Is there a way to embed both the application, <i>and</i> a JRE, into an .exe file acting as the application launcher (and not as an installer)?</p>
","['java', 'application', 'distribute', 'executable', 'application', 'file', 'distribute', 'file', 'matter', 'distribute', 'create', 'folder', 'installer', 'file', 'application', 'file', 'application', 'installer']","['java', 'window', 'deployment', 'executable', 'software-distribution']"
"Why is MinGW very slow? <p>I'm using the Code::Blocks IDE with GCC/MinGW on Windows, and I'm trying to build a wxWidgets application which has ca. 20k lines and 40 source modules. And it builds very very slow.</p>

<p>Compiling a C++ module lasts 2-5 seconds, and linking lasts even 2-3 minutes.</p>

<p>It's a portable code, and this code compiles very fast on Linux. I can't follow the build message window... The entire process lasts less than 20 seconds.</p>

<p>I tried the common tweaks (for example, precompiled header, turn optimizations off, etc.), but nothing worked.</p>

<p>Why is it so slow?</p>
","['mingw', 'code', 'application', 'source', 'compiling', 'module', 'code', 'code', 'build', 'message', 'window', 'process', 'example', 'turn', 'nothing']","['c++', 'performance', 'mingw', 'codeblocks', 'msys']"
"How to hide softkeyboad when activity start in android? <p>I have android app in which one layout contains <code>Linearlayout</code>, <code>ScrollView</code>, <code>TextView</code>, <code>EditView</code> and <code>Button</code>. when I call from one activity to other this activity call and set <code>layout</code> which I have describe.<br><br></p>

<p>I would like to know when activity call there is by default <code>EditView</code> selected. and open the <code>softkeyboard</code>. I don't want to open that keyboard when activity start. but I want to open that <code>softkeyboard</code> on touch event of <code>EditView</code>.</p>

<p>How can I do that?</p>
","['softkeyboad', 'activity', 'android', 'android', 'layout', 'scrollview', 'textview', 'button', 'call', 'activity', 'activity', 'call', 'layout', 'describe', 'activity', 'call', 'default', 'editview', 'softkeyboard', 'keyboard', 'activity', 'softkeyboard', 'event', 'editview']","['android', 'layout', 'button', 'keyboard', 'android-edittext']"
"c math linker problems on Ubuntu 11.10 <p>Some strange error appeared after I upgraded my Ubuntu from <code>(10.11, 11.04 i dont know)</code> to 11.10.</p>

<p>I am getting an <code>undefined reference to 'sqrt'</code> while using math.h <strong>and linking with -lm</strong></p>

<p>I'm compiling with <code>gcc -Wall -Werror -g -Iinclude/ -lm lib/matrix.c src/analyse.c -o bin/analyse.o</code> both source-files use and include math.h.</p>

<p>This code compiled without problems for and I didn't change much since the upgrade but now it won't work.</p>

<p>Do you have any suggestions what I can do, to find the error?</p>

<p>I'm sorry, if this question was asked before; there are so many posts on math linker errors and I didn't find a matching one</p>
","['math', 'linker', 'error', 'dont', 'reference', 'sqrt', 'math', 'werror', 'iinclude', 'matrix', 'analyse', 'analyse', 'source', 'code', 'work', 'error', 'question', 'linker']","['gcc', 'ubuntu', 'linker', 'math.h']"
"How to write onshow event using JavaScript/jQuery? <p>I have an anchor tag on my page, I want an event attached to it, which will fire when the display of this element change.</p>
<p>How can I write this event, and catch whenever the display of this element changes?</p>
","['onshow', 'event', 'jquery', 'anchor', 'page', 'event', 'fire', 'display', 'element', 'change', 'event', 'catch', 'display', 'element']","['javascript', 'html', 'jquery', 'dom', 'jquery-events']"
"Using jQuery to add class to first TD on each table row <p>I have a table I'm working with that is like such:</p>

<pre><code>&lt;table width=""100%"" border=""0"" cellspacing=""0"" cellpadding=""0"" id=""tablecontent""&gt;
  &lt;tr class=""tablerow""&gt;
    &lt;td&gt;This is the td I want to add a class to.&lt;/td&gt;
    &lt;td class=""cell2""&gt;Stuff&lt;/td&gt;
    &lt;td class=""cell3""&gt;Stuff&lt;/td&gt;
  &lt;/tr&gt;
  &lt;tr class=""tablerow""&gt;
    &lt;td&gt;This is the td I want to add a class to.&lt;/td&gt;
    &lt;td class=""cell2""&gt;Stuff&lt;/td&gt;
    &lt;td class=""cell3""&gt;Stuff&lt;/td&gt;
  &lt;/tr&gt;
&lt;/table&gt;
</code></pre>

<p>The first TD tag in each row does not have a class or ID to work with. I don't have access to change the HTML output so I figured to add in a bit of jQuery to target the first TD tag of each tablerow. How would I do this?</p>
","['jquery', 'class', 'border', 'class', 'tablerow', 'class', 'class', 'cell', 'class', 'cell', 'class', 'tablerow', 'class', 'class', 'cell', 'class', 'cell', 'stuff', 'table', 'class', 'work', 'access', 'change', 'html', 'output', 'jquery', 'target', 'tablerow']","['jquery', 'html', 'cs', 'class', 'html-table']"
"Strategies for replacing legacy data layer with Entity framework and POCO classes <p>We are using .net C# 4.0, VS 2010, EF 4.1 and legacy code in this project we are working on.</p>

<p>I'm working on a win form project where I have made a decision to start using entity framework 4.1 for accessing an ms sql db. The code base is quite old and we have an existing data layer that uses data adapters. These data adapters are used all over the place (in web apps and win form apps) My plan is to replace the old db access code with EF over time and get rid for the tight coupling between UI layers and data layer.</p>

<p>So my idea is to more or less combine EF with the legacy data access layer and slowly replace the legacy data layer with a more modern take on things using EF. So for now we need to use both EF and the legacy db access code.</p>

<p>What I have done so far is to add a project containing the edmx file and context. The edmx is generated using database first approach. I have also added another project that contains the POCO classes (by using ADO.NET POCO Entity Generator). I have more or less followed Julia Lerman's approach in her book ""Programming Entity Framework"" on how to split the model and the generated POCO classes. The database model has been set for years and it's not an option the change the table and the relationships, triggers, stored procedures, etc, so I'm basically stuck with the db model as it is. </p>

<p>I have read about the repository pattern and unit of work and I kind of like the patterns, but I struggle to implement them when I have both EF and the legacy db access code to deal with. Specially when I don't have the time to replace all of the legacy db access code with a pure EF implementation. In an perfect world I would start all over again with a fresh take one the data model, but that is not an option here.</p>

<p>Is the repository and unit of work patterns the way to go here? In order to use the POCO classes in my business layer, I sometimes need to use both EF and the legacy db code to populate my POCO classes. In another words, I can sometimes use EF to retrieve a part of the data I need and the use the old db access layer to retrieve the rest of the data and then map the data to my POCO classes. When I want to update some data I need to pick data from the POCO classes and use the legacy data access code to store the data in the database. So I need to map the data retrieved from the legacy data access layer to my POCO classes when I want to display the data in the UI and vice versa when I want to save data to the data base.</p>

<p>To complicate things we store some data in tables that we don't know the name of before runtime (Please don't ask me why:-) ). So in the old db access layer, we had to create sql statements on the fly where we inserted the table and column names based on information from other tables.</p>

<p>I also find that the relationships between the POCO classes are somewhat too data base centric. In another words, I feel that I need to have a more simplified domain model to work with. Perhaps I should create a domain model that fits the bill and then use the POCO classes as ""DAO's"" to populate the domain model classes?</p>

<p>How would you implement this using the Repository pattern and Unit of Work pattern? (if that is the way to go)</p>
","['legacy', 'layer', 'entity', 'poco', 'legacy', 'code', 'project', 'form', 'project', 'decision', 'start', 'entity', 'framework', 'code', 'base', 'layer', 'place', 'form', 'apps', 'plan', 'access', 'code', 'time', 'layer', 'idea', 'legacy', 'access', 'layer', 'legacy', 'layer', 'need', 'legacy', 'access', 'code', 'project', 'file', 'context', 'edmx', 'database', 'approach', 'project', 'entity', 'generator', 'approach', 'book', 'entity', 'framework', 'split', 'model', 'model', 'option', 'change', 'model', 'unit', 'work', 'kind', 'legacy', 'access', 'code', 'time', 'access', 'code', 'pure', 'implementation', 'world', 'take', 'model', 'option', 'repository', 'unit', 'work', 'order', 'poco', 'business', 'layer', 'legacy', 'code', 'populate', 'poco', 'part', 'access', 'layer', 'rest', 'poco', 'poco', 'legacy', 'access', 'code', 'store', 'database', 'need', 'legacy', 'access', 'layer', 'poco', 'display', 'vice', 'versa', 'save', 'base', 'complicate', 'name', 'please', 'access', 'layer', 'create', 'column', 'information', 'base', 'centric', 'domain', 'model', 'work', 'domain', 'model', 'bill', 'domain', 'model', 'unit', 'work', 'pattern']","['c#', 'entity-framework', 'repository-pattern', 'poco', 'data-access-layer']"
"Python vs Lua for embedded scripting/text processing engine <p>For a project I'm currently working on, I'm looking to embed a scripting engine into my C++ code to allow for some extensibility down the line.  The application will require a fair amount of text processing and the use of regular expressions within these scripts.</p>

<p>I know Lua is generally the industry darling when it comes to embedded scripting, but I also know it doesn't support regular expressions (at least out of the box).  This is causing me to lean toward python for my language to embed, as it seems to have the best support behind Lua and still offers powerful regex capabilities.</p>

<p>Is this the right choice? Should I be looking at another language?  Is there a reason I should give Lua a second look?</p>
","['python', 'text', 'processing', 'engine', 'project', 'engine', 'code', 'extensibility', 'line', 'application', 'amount', 'text', 'processing', 'industry', 'support', 'language', 'support', 'regex', 'choice', 'language', 'reason', 'look']","['c++', 'python', 'scripting', 'lua', 'embedded-language']"
"Why is the type of this function (a -> a) -> a? <p>Why is the type of this function (a -> a) -> a?</p>

<pre><code>Prelude&gt; let y f = f (y f)
Prelude&gt; :t y
y :: (t -&gt; t) -&gt; t
</code></pre>

<p>Shouldn't it be an infinite/recursive type?
I was going to try and put into words what I think it's type should be, but I just can't do it for some reason.</p>

<pre><code>y :: (t -&gt; t) -&gt; ?WTFIsGoingOnOnTheRHS?
</code></pre>

<p>I don't get how f (y f) resolves to a value. The following makes a little more sense to me:</p>

<pre><code>Prelude&gt; let y f x = f (y f) x
Prelude&gt; :t y
y :: ((a -&gt; b) -&gt; a -&gt; b) -&gt; a -&gt; b
</code></pre>

<p>But it's still ridiculously confusing. What's going on?</p>
","['type', 'function', 'type', 'function', 'prelude', 'type', 'reason', 'wtfisgoingonontherhs', 'value', 'prelude', 'prelude']","['haskell', 'type', 'recursion', 'anonymous', 'y-combinator']"
